year,country,region,income,population,lifeExpectancy
1901,"Korea, Dem. Rep.",East Asia & Pacific,791,,
1901,"Korea, Rep.",East Asia & Pacific,675,,
1901,"Macao, China",East Asia & Pacific,,,
1901,Malaysia,East Asia & Pacific,,2288000,
1901,"Micronesia, Fed. Sts.",East Asia & Pacific,,,
1901,Mongolia,East Asia & Pacific,,,
1901,Myanmar,East Asia & Pacific,789.21,10490000,
1901,New Caledonia,East Asia & Pacific,,,
1901,New Zealand,East Asia & Pacific,5718.83,824000,
1901,Papua New Guinea,East Asia & Pacific,,,
1901,Philippines,East Asia & Pacific,,7465000,30.9
1901,Samoa,East Asia & Pacific,,,
1901,Singapore,East Asia & Pacific,2402.4,,
1901,Solomon Islands,East Asia & Pacific,,,
1901,Taiwan,East Asia & Pacific,964,2903000,
1901,Thailand,East Asia & Pacific,,7413000,
1901,Timor-Leste,East Asia & Pacific,,,
1901,Tokelau,East Asia & Pacific,,,
1901,Tonga,East Asia & Pacific,,21000,
1901,Vietnam,East Asia & Pacific,,,
1901,Vanuatu,East Asia & Pacific,,,
1902,Angola,Sub-Saharan Africa,,,
1902,Benin,Sub-Saharan Africa,,,
1902,Botswana,Sub-Saharan Africa,,,
1902,Burkina Faso,Sub-Saharan Africa,,,
1902,Burundi,Sub-Saharan Africa,,,
1902,Cameroon,Sub-Saharan Africa,,,
1902,Cape Verde,Sub-Saharan Africa,476.16,,
1902,Chad,Sub-Saharan Africa,,,
1902,Comoros,Sub-Saharan Africa,,,
1902,"Congo, Dem. Rep.",Sub-Saharan Africa,,,
1902,"Congo, Rep.",Sub-Saharan Africa,,,
1902,Cote d'Ivoire,Sub-Saharan Africa,,,
1902,Equatorial Guinea,Sub-Saharan Africa,,,
1902,Eritrea,Sub-Saharan Africa,,,
1902,Ethiopia,Sub-Saharan Africa,,,
1902,Gabon,Sub-Saharan Africa,,,
1902,Ghana,Sub-Saharan Africa,,,
1902,Guinea,Sub-Saharan Africa,,,
1902,Guinea-Bissau,Sub-Saharan Africa,,,
1902,Kenya,Sub-Saharan Africa,,,
1902,Lesotho,Sub-Saharan Africa,,,
1902,Liberia,Sub-Saharan Africa,,,
1902,Madagascar,Sub-Saharan Africa,,,
1902,Malawi,Sub-Saharan Africa,,,
1902,Mali,Sub-Saharan Africa,,,
1902,Mauritania,Sub-Saharan Africa,,,
1902,Mauritius,Sub-Saharan Africa,,,
1902,Mayotte,Sub-Saharan Africa,,,
1902,Mozambique,Sub-Saharan Africa,,,
1902,Namibia,Sub-Saharan Africa,,,
1902,Niger,Sub-Saharan Africa,,,
1902,Nigeria,Sub-Saharan Africa,,,
1902,Reunion,Sub-Saharan Africa,,,
1902,Rwanda,Sub-Saharan Africa,,,
1902,Sao Tome and Principe,Sub-Saharan Africa,,,
1902,Senegal,Sub-Saharan Africa,,,
1902,Sierra Leone,Sub-Saharan Africa,,,
1902,Somalia,Sub-Saharan Africa,,,
1902,South Africa,Sub-Saharan Africa,,,
1902,Sudan,Sub-Saharan Africa,,,
1902,Swaziland,Sub-Saharan Africa,,,
1902,Tanzania,Sub-Saharan Africa,,,
1902,Togo,Sub-Saharan Africa,,,
1902,Uganda,Sub-Saharan Africa,,,
1902,Zambia,Sub-Saharan Africa,,,
1902,Zimbabwe,Sub-Saharan Africa,,,
1902,Afghanistan,South Asia,,,
1902,Bangladesh,South Asia,744,,
1902,Bhutan,South Asia,,,
1902,India,South Asia,658,,
1902,Maldives,South Asia,,,
1902,Nepal,South Asia,,,
1902,Pakistan,South Asia,813,,
1902,Sri Lanka,South Asia,969.58,4071000,
1902,Algeria,Middle East & North Africa,,,
1902,Bahrain,Middle East & North Africa,,,
1902,Djibouti,Middle East & North Africa,,,
1902,Iraq,Middle East & North Africa,1724.99,,
1902,Israel,Middle East & North Africa,,372255,
1902,Jordan,Middle East & North Africa,,,
1902,Kuwait,Middle East & North Africa,,,
1902,Lebanon,Middle East & North Africa,,,
1902,Libya,Middle East & North Africa,,,
1902,Morocco,Middle East & North Africa,,,
1902,Oman,Middle East & North Africa,,,
1902,Qatar,Middle East & North Africa,,,
1902,Saudi Arabia,Middle East & North Africa,,,
1902,Tunisia,Middle East & North Africa,,,
1902,United Arab Emirates,Middle East & North Africa,,,
1902,West Bank and Gaza,Middle East & North Africa,,294225,
1902,"Yemen, Rep.",Middle East & North Africa,,,
1902,Argentina,America,3436.59,5060000,
1902,Aruba,America,,,
1902,Barbados,America,,,
1902,Belize,America,,,
1902,Bolivia,America,,1723000,
1902,Brazil,America,629.74,18782000,
1902,Canada,America,4833.78,5650000,
1902,Chile,America,2320.22,3029494,32
1902,Colombia,America,,4162000,
1902,Costa Rica,America,,320000,
1902,Cuba,America,,1775000,
1902,Ecuador,America,,1441000,
1902,El Salvador,America,,799000,
1902,French Guiana,America,,,
1902,Grenada,America,,,
1902,Guadeloupe,America,,,
1902,Guatemala,America,,1327000,
1902,Guyana,America,,,
1902,Haiti,America,,1607000,
1902,Honduras,America,,522000,
1902,Jamaica,America,,737000,40.4
1902,Martinique,America,,,
1902,Mexico,America,1686.64,13904000,28.37
1902,Netherlands Antilles,America,,,
1902,Nicaragua,America,,492000,
1902,Panama,America,,275000,
1902,Paraguay,America,,461000,
1902,Peru,America,1143.88,3741000,
1902,Puerto Rico,America,,990000,33.3
1902,Suriname,America,,,
1902,Trinidad and Tobago,America,,279000,
1902,United States,America,7282.17,79469000,50.5
1902,Uruguay,America,2967.03,945000,
1902,Albania,Europe & Central Asia,,,
1902,Armenia,Europe & Central Asia,,,
1902,Austria,Europe & Central Asia,4477.8,6099000,
1902,Azerbaijan,Europe & Central Asia,,,
1902,Belarus,Europe & Central Asia,,,
1902,Belgium,Europe & Central Asia,4466.99,6903000,49.18
1902,Bosnia and Herzegovina,Europe & Central Asia,,,
1902,Bulgaria,Europe & Central Asia,,,42.5
1902,Croatia,Europe & Central Asia,,,
1902,Cyprus,Europe & Central Asia,,,
1902,Denmark,Europe & Central Asia,3819.26,2623000,54.74
1902,Estonia,Europe & Central Asia,,,
1902,Finland,Europe & Central Asia,2187.05,2686000,46.23
1902,France,Europe & Central Asia,3882.54,40713000,48.01
1902,Georgia,Europe & Central Asia,,,
1902,Germany,Europe & Central Asia,4540.54,56104000,
1902,Greece,Europe & Central Asia,2084.84,5032000,40.4
1902,Hungary,Europe & Central Asia,,,
1902,Iceland,Europe & Central Asia,2223.26,,50.52
1902,Ireland,Europe & Central Asia,3503.7,3155654,
1902,Italy,Europe & Central Asia,2214.22,34166000,42.99
1902,Kazakhstan,Europe & Central Asia,,,
1902,Latvia,Europe & Central Asia,,,
1902,Lithuania,Europe & Central Asia,,,
1902,Luxembourg,Europe & Central Asia,,,48.06
1902,"Macedonia, FYR",Europe & Central Asia,,,
1902,Malta,Europe & Central Asia,,,
1902,Moldova,Europe & Central Asia,,,
1902,Montenegro,Europe & Central Asia,,,
1902,Netherlands,Europe & Central Asia,3917.61,5305000,50.61
1902,Norway,Europe & Central Asia,2732,2275000,56.49
1902,Poland,Europe & Central Asia,2502.15,,
1902,Portugal,Europe & Central Asia,1796.87,5494000,
1902,Romania,Europe & Central Asia,,,
1902,Serbia,Europe & Central Asia,,,
1902,Slovak Republic,Europe & Central Asia,,,
1902,Slovenia,Europe & Central Asia,,,
1902,Spain,Europe & Central Asia,2747,18788000,
1902,Sweden,Europe & Central Asia,2916,5187000,54.76
1902,Switzerland,Europe & Central Asia,5787.75,3384000,50.41
1902,Tajikistan,Europe & Central Asia,,,
1902,Turkey,Europe & Central Asia,1474.8,,
1902,Turkmenistan,Europe & Central Asia,,,
1902,Ukraine,Europe & Central Asia,,,
1902,United Kingdom,Europe & Central Asia,6368.9,38737346,49.08
1902,Uzbekistan,Europe & Central Asia,,,
1902,Australia,East Asia & Pacific,5173.65,3850000,
1902,Brunei,East Asia & Pacific,,,
1902,Cambodia,East Asia & Pacific,,,
1902,China,East Asia & Pacific,803.84,404498000,
1902,Fiji,East Asia & Pacific,,,
1902,French Polynesia,East Asia & Pacific,,,
1902,"Hong Kong, China",East Asia & Pacific,,,
1902,Indonesia,East Asia & Pacific,583.07,43810000,
1902,Japan,East Asia & Pacific,1655.54,45255000,
1902,"Korea, Dem. Rep.",East Asia & Pacific,794,,
1902,"Korea, Rep.",East Asia & Pacific,678,,
1902,"Macao, China",East Asia & Pacific,,,
1902,Malaysia,East Asia & Pacific,,2345000,
1902,"Micronesia, Fed. Sts.",East Asia & Pacific,,,
1902,Mongolia,East Asia & Pacific,,,
1902,Myanmar,East Asia & Pacific,756.71,10642000,
1902,New Caledonia,East Asia & Pacific,,,
1902,New Zealand,East Asia & Pacific,6009.94,844000,
